OBJECTID,ProvNo,PovName,DistNo,DistName,regular_radio_listener_pct,comm_risk_index,comm_risk_pct,female_literacy_pct,has_no_soap_pct,male_literacy_pct,has_no_drinkwater_pct,has_no_water_handwashing_pct,prox_risk_index,socioecon_risk_index,time_to_water_greater_30_pct,shares_toilet_with_others_pct,WASH_risk_index,Shape__Area,Shape__Length
23,103,EASTERN,103001,CHADIZA,44.0245590209961,2.30142903327942,23.0780944824219,54.6219215393066,64.3511428833008,69.5424728393555,96.5072784423828,71.7896041870117,3.02056264877319,3.70369338989258,25.7134761810303,41.5764503479004,3.15597987174988,0.133898263736285,1.79200651156611
24,103,EASTERN,103002,CHIPATA,56.4055862426758,1.35742199420929,13.4587230682373,67.6243133544922,51.8300132751465,80.7285690307617,74.6978454589844,61.109546661377,3.62269425392151,2.34528708457947,14.2397470474243,39.7733345031738,1.65715682506561,0.140754408078209,2.21100220314873
25,103,EASTERN,103003,KATETE,48.4762229919434,1.7944667339325,20.4151992797852,55.2714729309082,57.5115547180176,69.9333190917969,94.2528762817383,70.9923400878906,3.16374611854553,3.36009860038757,23.1822662353516,44.2326545715332,2.60170745849609,0.206781302924412,3.2403321873615
26,103,EASTERN,103004,LUNDAZI,50.6960029602051,2.69582891464233,23.3119812011719,54.3717613220215,76.2417831420898,77.328857421875,87.6256713867188,75.0468521118164,2.40638470649719,3.20009303092957,26.813232421875,41.6694030761719,3.64456367492676,0.114621620873265,2.34991222754889
27,103,EASTERN,103005,MAMBWE,29.5348777770996,3.83985280990601,31.2682247161865,47.7725868225098,60.6986885070801,75.7896881103516,94.9833221435547,71.0123672485352,3.86014842987061,3.54643821716309,32.2506256103516,41.9400024414063,3.14433336257935,0.479399417264801,4.74412083122958
28,103,EASTERN,103006,NYIMBA,34.928596496582,1.86540222167969,21.2078285217285,49.8069190979004,51.57568359375,66.5515670776367,97.0647811889648,68.7425994873047,4.61476516723633,3.75682830810547,25.7823677062988,39.0773735046387,2.21920204162598,0.88463235900889,5.35975666323288
29,103,EASTERN,103007,PETAUKE,50.7133369445801,1.86064302921295,20.3099365234375,53.2385749816895,41.3642616271973,69.3145141601563,94.4250564575195,68.9074630737305,4.41553640365601,3.41985869407654,21.3953323364258,43.7290992736816,1.78033232688904,0.292190240850175,3.39343689990595
30,103,EASTERN,103008,SINDA,47.6654319763184,1.77236688137054,20.8239974975586,52.25390625,44.0724182128906,67.1659088134766,97.0988311767578,71.0965118408203,3.75004434585571,3.69800186157227,24.3080291748047,43.9873504638672,1.9928994178772,0.219774473806069,2.64988475226838
31,103,EASTERN,103009,VUBWI,30.2445659637451,4.135413646698,33.3885879516602,52.9527282714844,74.0671844482422,72.1580581665039,99.7824783325195,75.9542541503906,3.24477934837341,3.94061350822449,30.4174861907959,36.5084381103516,3.89275598526001,0.0791461535154099,2.04708460948945
32,103,EASTERN,103010,CHASEFU,44.8346786499023,3.47093033790588,29.0801315307617,44.2939109802246,83.7278671264648,73.1793212890625,99.4235305786133,84.1887130737305,3.13100051879883,3.97772002220154,36.3170928955078,41.302806854248,4.87775897979736,0.243202814224361,2.9697634455963
