ProvNo,PovName,DistNo,DistName,female_literacy_pct,mrp_estimate,mrp_estimate_se,post_lit_MR_est,post_lit_MR_err,post_lit_MR_lower,post_lit_MR_upper,post_lit_IO_est,post_lit_IO_err,post_lit_IO_lower,post_lit_IO_upper,fraym_mrp_err_sq,fraym_mr_err_sq,fraym_io_err_sq
108,NORTH-WESTERN,108010,Kalumbila,53.09585571,0.718087617,0.101971805,0.651217922,0.514582454,0.625252773,0.67684507,0.635246023,0.512782084,0.611566266,0.658743529,0.035017285,0.014462315,0.010875876
108,NORTH-WESTERN,108007,Mwinilunga,48.26477051,0.668975352,0.102388188,0.651491267,0.513496453,0.627260085,0.674426305,0.604815999,0.510235575,0.584821942,0.624157072,0.034717992,0.028508148,0.014925092
106,MUCHINGA,106008,Kanchibiya,49.94018555,0.683567152,0.101511794,0.655559339,0.514050329,0.628928358,0.680153869,0.607916819,0.51368074,0.582311164,0.633277536,0.033916856,0.02438516,0.011775497
106,MUCHINGA,106009,Lavushimanda,51.03726578,0.692303295,0.101569358,0.628267324,0.514555229,0.601092468,0.654579133,0.578648184,0.513387899,0.553138605,0.604894242,0.033098757,0.013899152,0.004661548
103,EASTERN,103003,Katete,55.27147293,0.733222613,0.101878838,0.655763639,0.511510231,0.63558671,0.675335251,0.628858384,0.508427215,0.612372627,0.644157539,0.032583096,0.010619078,0.005797856
106,MUCHINGA,106004,Mafinga,50.3715744,0.674948455,0.101365982,0.679178982,0.513152148,0.655648957,0.701569697,0.631027956,0.511740493,0.608781303,0.652532049,0.029320641,0.030787348,0.016208399
104,LUAPULA,104012,Chifunabuli,41.18306351,0.578733434,0.101707552,0.661489807,0.512545086,0.639491726,0.683587424,0.634685997,0.51047448,0.615312096,0.65380108,0.027856544,0.062329702,0.049664512
103,EASTERN,103005,Mambwe,47.77258682,0.641674721,0.101747384,0.650531024,0.515869848,0.62185808,0.677747346,0.609005378,0.515818177,0.580047348,0.637753465,0.026879226,0.029861622,0.01723431
108,NORTH-WESTERN,108002,Ikelenge,47.5615921,0.636228097,0.102218124,0.63670537,0.516016351,0.60802161,0.664703127,0.584738122,0.514995806,0.556851334,0.611531698,0.025796271,0.025949811,0.011907655
106,MUCHINGA,106001,Chama,38.33876038,0.54233209,0.101938624,0.618919737,0.511249951,0.597610484,0.639334056,0.579720423,0.508117722,0.563863485,0.595152271,0.02526335,0.055475386,0.038546576
107,NORTHERN,107005,Mbala,51.40135956,0.667771611,0.101793215,0.641937585,0.514297086,0.615818429,0.667140176,0.60264727,0.513432628,0.577281314,0.627810457,0.023641527,0.016364547,0.007855928
107,NORTHERN,107012,Lupososhi,42.62235641,0.578733434,0.101707552,0.662008038,0.513106445,0.63890954,0.684605785,0.612337855,0.512112849,0.589550006,0.634431567,0.02325926,0.055594318,0.034638529
104,LUAPULA,104005,Lunga,42.6729393,0.578733434,0.101707552,0.658381749,0.515822194,0.629734033,0.685306003,0.610562963,0.514409687,0.58184434,0.637269483,0.023105228,0.053662814,0.033794781
110,WESTERN,110004,Luampa,56.92738342,0.719238438,0.101462379,0.653947,0.515500701,0.624928189,0.68086614,0.609451405,0.516717072,0.578676221,0.63796444,0.022489383,0.007169545,0.001614237
109,SOUTHERN,109006,Livingstone,82.38361359,0.674148537,0.10206808,0.674291713,0.511075248,0.655405047,0.692436075,0.706950668,0.508207684,0.693530747,0.720300453,0.022406377,0.022363534,0.013662213
103,EASTERN,103004,Lundazi,54.37176132,0.691506418,0.102178403,0.658549997,0.51207334,0.637008929,0.678923978,0.639958119,0.50960204,0.623356098,0.656305823,0.021841531,0.013186476,0.009262235
101,CENTRAL,101008,Mkushi,64.14927673,0.504448045,0.102226106,0.663224341,0.511440748,0.642419776,0.682776773,0.670750199,0.509548157,0.653991824,0.686861935,0.018781256,4.72E-04,8.56E-04
110,WESTERN,110015,Sikongo,49.42671585,0.629785578,0.102919412,0.6314286,0.517125334,0.599711653,0.660971186,0.580801889,0.516441621,0.547473555,0.612647746,0.018365242,0.018813261,0.00748826
110,WESTERN,110008,Mulobezi,56.92929459,0.692848394,0.101604423,0.680772889,0.515685981,0.652955642,0.707255774,0.656764408,0.51578097,0.628929715,0.685199822,0.015265949,0.012427778,0.007651257
109,SOUTHERN,109003,Gwembe,52.35835648,0.645502314,0.101757387,0.657213867,0.51449462,0.630511013,0.682671245,0.64544072,0.513640185,0.62008323,0.670175249,0.014864181,0.017857058,0.014849166
101,CENTRAL,101006,Kapiri Mposhi,68.30812836,0.568285194,0.101443713,0.689823427,0.510286863,0.671863211,0.707336713,0.673512699,0.507202615,0.660435223,0.686186229,0.013178142,4.55E-05,9.16E-05
101,CENTRAL,101005,Kabwe,82.70846558,0.712326501,0.101747189,0.676552778,0.508795377,0.661050534,0.691431938,0.697728504,0.506158028,0.687434285,0.707867338,0.013169434,0.022659846,0.016733014
110,WESTERN,110006,Mitete,51.70676422,0.629785578,0.102919412,0.648784591,0.517675462,0.615766571,0.679193367,0.617341337,0.518871572,0.580462002,0.652269988,0.012705333,0.017349355,0.010054814
103,EASTERN,103006,Nyimba,49.8069191,0.608483621,0.102138249,0.654186079,0.513269186,0.630202513,0.678323227,0.625697329,0.512262184,0.60327597,0.647725281,0.012191346,0.024372483,0.016288942
102,COPPERBELT,102008,Mpongwe,58.06093979,0.688989787,0.101365964,0.65566433,0.512867903,0.631416489,0.677401096,0.658842432,0.511400246,0.63767102,0.679590792,0.011746309,0.005633243,0.006120408
102,COPPERBELT,102005,Luanshya,78.3176651,0.679144034,0.102463796,0.675054731,0.511968024,0.653664773,0.69580967,0.695096882,0.5099331,0.678268394,0.71222452,0.010822785,0.011690349,0.007758046
102,COPPERBELT,102004,Kitwe,84.08599091,0.737007892,0.102118495,0.676281461,0.509570312,0.659746892,0.692791796,0.695357617,0.505404083,0.686459895,0.704276026,0.010785241,0.027086066,0.021170917
102,COPPERBELT,102003,Kalulushi,73.63689423,0.635699624,0.101688659,0.654211534,0.513719188,0.629276154,0.677859327,0.678504201,0.512305996,0.657465713,0.698637194,0.010134312,0.00674984,0.003348328
103,EASTERN,103007,Petauke,53.23857498,0.632243108,0.102497917,0.652762515,0.51070983,0.632360701,0.67164964,0.631586485,0.507567564,0.617629574,0.645136149,0.009971492,0.014490566,0.009840786
108,NORTH-WESTERN,108005,Manyinga,60.79393768,0.707644571,0.102264558,0.674123797,0.513859451,0.648667137,0.697646372,0.649431205,0.512877077,0.625147374,0.672795236,0.009941126,0.004380377,0.001721572
